"CODE_ID","DESC_FRE","DESC_ENG"
4563,"Épaulard","Whale, Killer"
4565,"Corégone d'Acadie","Whitefish, Acadian"
4567,"Corégone tschir","Whitefish, Broad"
4569,"Grand corégone","Whitefish, Lake"
4571,"Plie à grande bouche","Flounder, Arrowtooth"
4573,"Flet étoilé","Flounder, Starry"
10561,"Tortue luth","Turtle, Leatherback Sea"
10591,"Cardeau d'été","Flounder, Summer"
10595,"Requin-tigre","Shark, Tiger"
13276,"Renard","Shark, Thresher"
13298,"Raie large","Skate, Broad"
13299,"Raie boréale (ou arctique)","Skate, Arctic"
13300,"Raie épineuse","Skate, Starry"
13305,"Barbotte","Bullhead, Brown"
13324,"Lussion blanc","Barracudina, White"
13403,"Étoile de mer (Asteroidea)","Starfish"
13404,"Lançon","Sandeels (Sandlances)"
13505,"Unidentified Waterfowl sp.","Unidentified Waterfowl sp."
13539,"Sablefishes","Sablefishes"
13581,"Souris de mer (Aphrodite de mer)","Sea Mouse"
13607,"Roussette","Shark, Brown Cat"
13639,"Wahoo","Wahoo"
13670,"Esturgeon vert (Acipenser brevirostrum)","Sturgeon, Shortnose"
13672,"Esturgeon atlantique","Sturgeon, Atlantic"
13836,"Tortues marines","Turtles, Sea"
13854,"Chimères","Ratfishes"
13855,"Chimaeriformes","Chimaeriformes"
13877,"Pétoncle rose","Scallop, Pink (aka Scallop, Reddish)"
13917,"Otarie à fourrure du Nord","Seal, Northern Fur"
14009,"Requin blanc","Shark, White"
14048,"Catostomes","Sucker (spp.)"
14050,"Meunier rouge","Sucker, Longnose"
14121,"Cétacés","Cetaceans"
14124,"Pèlerins","Sharks, Basking"
14183,"Oiseaux","Birds"
14196,"Balénoptère boréal de Bryde","Whale, Brydes"
14197,"Rorqual bleu","Whale, Blue"
14268,"Poulpe boréal","Octopus, North Atlantic"
14272,"Raie de profondeur","Skate, Abyssal (BATHYRAJA ABYSSICOLA)"
14273,"Raie Aléoutienne","Skate, Aleutian"
14274,"Raie rugueuse","Skate, Sandpaper"
14275,"Raie à taches blanches","Skate, Whiteblotched"
14276,"Raie de Whitebrow","Skate, Whitebrow"
14277,"Raie de l'Alaska","Skate, Alaska"
14280,"Raie à queue rude","Skate, Roughtail"
14281,"Skate, Okhotsk","Skate, Okhotsk"
14394,"Botrylle étoilé","Golden star tunicate"
14407,"Guillemot marbré","Murrelet, Marbled"
14451,"Albatros","Albatrosses"
14532,"Ascidie jaune","Vase tunicate"
14567,"Plie (CLIDODERMA ASPERRIMUM)","Sole, Roughscale"
14669,"Coregonus","Coregonus"
14670,"Cisco arctique","Cisco, Arctic"
14672,"Cisco sardinelle","Cisco, Least"
14714,"Chabots (COTTIDAE)","Sculpins (COTTIDAE)"
14869,"Poules de mer (Cyclopteridae)","Lumpfishes (Cyclopteridae)"
14871,"Lompe arctique","Lumpsucker, Arctic"
14952,"Dauphin commun","Dolphin, Saddlebacked"
15026,"Thonine noire","Skipjack, Black"
15152,"Hémitriptère atlantique","Sea Raven"
15196,"Fucus vésiculeux (Fucus vesiculosus)","Bladder wrack (Fucus vesiculosus)"
15197,"Fulmar boréal","Fulmar, Northern (Noddy)"
15198,"Petit barré","Killifish, Banded"
15210,"Morues (Gadidae)","Codfishes"
15214,"Mustèles","Rocklings"
15217,"Milandre (ou Requin-Hâ ou à grands ailerons)","Shark, Soupfin"
15282,"Polychètes errantes (Glyceridae)","Blood worms (Glyceridae)"
15286,"Sole américaine","Sole, Rex"
15342,"Dauphin de Risso","Grampus"
15537,"Pieuvre","Octopus, Giant Pacific"
15580,"Mixine brune","Hagfish, Pacific"
15596,"Baleine grise","Whale, Grey"
15620,"Baleine noire","Whale, North Atlantic Right"
15621,"Baleine noire du Pacifique Nord","Whale, North Pacific Right"
15676,"Krill, Pacifique","Krill, Pacific"
15678,"Euphausiacés (Euphausiacea)","Krill (Euphausiacea)"
15788,"Sourcils","Greenlings"
15799,"Laquaiche aux yeux d'or","Goldeye, Winnipeg"
15873,"Crabe lyre atlantique","Crab, Atlantic Lyre"
15876,"Crabes lyres","Crabs, Toad"
15893,"Chimère d'Amérique","Ratfish, Spotted"
15924,"Baleine à bec commune","Whale, Northern Bottlenosed"
15925,"Baleines à bec","Whales, Beaked"
15961,"Sole, Forkline (Hybrid)","Sole, Forkline (Hybrid)"
15992,"Requin-taupe, petit","Mako, Longfin"
16027,"Cachalot nain","Whale, Dwarf Sperm"
16071,"Dauphin à flancs blancs de l'Atlantique","Dolphin, Atlantic White-Sided"
16072,"Dauphin à flancs blancs du Pacifique","Dolphin, Pacific White-Sided"
16080,"Taupe du Pacifique","Shark, Salmon"
16112,"Larinés","Gulls"
16179,"Limande du nord","Sole, Northern Rock"
16284,"Rorqual à bosse","Whale, Humpback"
16349,"Capucette (Menidia menidia)","Silverside, Atlantic"
16356,"Merlus (Merlucciidae)","Hakes"
16366,"Baleine à bec de Sowerby","Whale, Sowerby's Beaked"
16414,"Plie (Microstomus bathybius)","Sole, Deepsea"
16419,"Éléphant de mer (MIROUNGA ANGUSTIROSTRIS)","Seal, Northern Elephant (MIROUNGA ANGUSTIROSTRIS)"
16534,"Poissons-lanternes","Lanternfishes"
16553,"Chaboisseau à dix-huit épines","Sculpin, Longhorn"
16631,"Dauphin à dos lisse","Dolphin, Northern Right-Whale"
16638,"Crabe royal doré","Crab, Golden King"
16640,"Crabes, Lithodio","Crabs, Lithodio"
16683,"Lotte","Burbot (Mariah)"
16684,"Merlus et Lottes","Hakes and Burbots"
16755,"Lycodes","Eelpouts"
16802,"Marlin bleu","Marlin, Pacific Blue"
16808,"Raie lisse","Skate, Smooth"
16818,"Mammifères","Mammals"
16840,"Crevette à flancs rayés","Shrimp, Sidestripe"
16841,"Crevette des quais","Shrimp, Coonstripe"
16842,"Crevette gibbeuse","Shrimp, Pink (Flexed)"
16844,"Crevette océanique","Shrimp, Pink (Smooth)"
16860,"Panope (Panopea abrupta)","Geoduck, Pacific"
16893,"Flétans de sable","Flounders, Lefteye"
17012,"Requin à sept branchies","Shark, Sevengill"
17052,"Palourde lustrée","Clam, Varnish"
17087,"Pieuvres (OCTOPUS)","Octopus (OCTOPUS)"
17089,"Pieuvre rouge du Pacifique","Octopus, Pacific Red"
17288,"Morue-lingue","Cod, Ling (OPHIODON ELONGATUS)"
17373,"Éperlans","Smelts"
17375,"Éperlan","Smelt"
17441,"Bernard l'hermite","Hermit crabs"
17517,"Plies","Flounders, Righteye"
17559,"Natice de l'Atlantique","Moonsnail, Northern"
17569,"Vers polychètes","Worms, Polychaete"
17617,"Porifères","Sponges"
17679,"Ménomini rond","Whitefish, Round"
17699,"Palourde du Pacifique","Clam, Native Littleneck"
17709,"Plie à points noirs (PSETTICHTHYS MELANOSTICTUS)","Sole, Sand (PSETTICHTHYS MELANOSTICTUS)"
17737,"Faux-orque","Whale, False Killer"
17825,"Raie (Raja binoculata)","Skate, Big"
17827,"Raie de Californie","Skate, California"
18077,"Marsouin de Dall","Porpoise, Dall"
18162,"Oursin vert (Strongylocentrotus droebachiensis)","Sea Urchin, Green (Strongylocentrotus droebachiensis)"
18238,"Algues rouges","Seaweeds, Red"
18266,"Sépiole du Pacifique boréal","Squid, Pacific Bobtail"
18286,"Truites","Trouts not specified"
18287,"Salmonidés","Salmons"
18288,"Salmonids (SALMONIFORMES)","Salmonids (SALMONIFORMES)"
18296,"Omble à tête plate","Trout, Bull"
18297,"Omble de fontaine","Trout, Brook"
18298,"Dolly varden","Dolly varden"
18299,"Touladi","Trout, Lake"
18302,"Bonite du Pacifique oriental","Bonito, Pacific"
18350,"Maquereau blanc","Mackerel, Chub"
18374,"Chabot marbré","Cabezon"
18388,"Sébaste à longue mâchoire","Perch, Pacific Ocean"
18389,"Rockfish, Greenspotted","Rockfish, Greenspotted"
